id,label
0,positive
1,positive
2,neutral
3,positive
4,positive
5,neutral
6,positive
7,positive
8,neutral
9,positive
10,neutral
11,positive
12,positive
13,positive
14,positive
15,positive
16,positive
17,positive
18,neutral
19,positive
20,positive
21,positive
22,neutral
23,negative
24,neutral
25,positive
26,neutral
27,neutral
28,positive
29,neutral
30,neutral
31,negative
32,positive
33,positive
34,positive
35,neutral
36,positive
37,neutral
38,negative
39,positive
40,positive
41,positive
42,positive
43,positive
44,positive
45,positive
46,negative
47,neutral
48,negative
49,neutral
50,neutral
51,positive
52,positive
53,positive
54,negative
55,neutral
56,positive
57,neutral
58,neutral
59,neutral
60,positive
61,positive
62,neutral
63,positive
64,negative
65,positive
66,positive
67,positive
68,positive
69,positive
70,negative
71,neutral
72,neutral
73,positive
74,neutral
75,positive
76,positive
77,neutral
78,neutral
79,positive
80,negative
81,positive
82,positive
83,positive
84,neutral
85,positive
86,positive
87,positive
88,negative
89,negative
90,positive
91,positive
92,positive
93,positive
94,neutral
95,positive
96,positive
97,positive
98,positive
99,neutral
100,positive
101,positive
102,neutral
103,positive
104,neutral
105,positive
106,negative
107,negative
108,neutral
109,positive
110,neutral
111,positive
112,positive
113,negative
114,neutral
115,positive
116,negative
117,positive
118,negative
119,positive
120,positive
121,positive
122,positive
123,positive
124,neutral
125,positive
126,positive
127,positive
128,neutral
129,positive
130,positive
131,positive
132,positive
133,positive
134,positive
135,neutral
136,positive
137,positive
138,positive
139,neutral
140,negative
141,positive
142,negative
143,neutral
144,positive
145,positive
146,positive
147,positive
148,neutral
149,positive
150,positive
151,positive
152,positive
153,neutral
154,positive
155,neutral
156,neutral
157,neutral
158,positive
159,positive
160,neutral
161,neutral
162,positive
163,neutral
164,neutral
165,neutral
166,positive
167,positive
168,positive
169,positive
170,positive
171,positive
172,positive
173,positive
174,negative
175,neutral
176,neutral
177,positive
178,positive
179,positive
180,neutral
181,neutral
182,positive
183,positive
184,positive
185,positive
186,positive
187,positive
188,negative
189,positive
190,positive
191,negative
192,positive
193,neutral
194,positive
195,negative
196,positive
197,positive
198,positive
199,positive
200,positive
201,positive
202,positive
203,neutral
204,positive
205,positive
206,positive
207,positive
208,neutral
209,positive
210,positive
211,positive
212,negative
213,negative
214,negative
215,neutral
216,positive
217,positive
218,neutral
219,positive
220,neutral
221,positive
222,positive
223,neutral
224,positive
225,neutral
226,positive
227,neutral
228,positive
229,negative
230,positive
231,negative
232,neutral
233,neutral
234,neutral
235,positive
236,positive
237,positive
238,positive
239,neutral
240,positive
241,positive
242,neutral
243,positive
244,positive
245,negative
246,neutral
247,positive
248,positive
249,positive
250,neutral
251,neutral
252,positive
253,positive
254,positive
255,positive
256,positive
257,positive
258,neutral
259,neutral
260,positive
261,neutral
262,neutral
263,neutral
264,positive
265,positive
266,neutral
267,positive
268,positive
269,positive
270,positive
271,negative
272,positive
273,positive
274,neutral
275,neutral
276,positive
277,positive
278,positive
279,positive
280,positive
281,neutral
282,positive
283,positive
284,neutral
285,positive
286,positive
287,negative
288,positive
289,neutral
290,neutral
291,neutral
292,positive
293,neutral
294,positive
295,positive
296,positive
297,negative
298,positive
299,negative
300,positive
301,positive
302,neutral
303,positive
304,positive
305,neutral
306,neutral
307,positive
308,negative
309,neutral
310,positive
311,positive
312,positive
313,neutral
314,neutral
315,neutral
316,positive
317,neutral
318,positive
319,negative
320,negative
321,positive
322,negative
323,negative
324,positive
325,neutral
326,positive
327,neutral
328,positive
329,neutral
330,negative
331,neutral
332,neutral
333,positive
334,positive
335,positive
336,positive
337,positive
338,positive
339,positive
340,positive
341,positive
342,positive
343,positive
344,negative
345,neutral
346,positive
347,positive
348,positive
349,positive
350,positive
351,negative
352,positive
353,positive
354,neutral
355,neutral
356,positive
357,positive
358,positive
359,negative
360,neutral
361,negative
362,neutral
363,negative
364,negative
365,positive
366,positive
367,positive
368,neutral
369,positive
370,positive
371,positive
372,positive
373,positive
374,positive
375,positive
376,positive
377,positive
378,positive
379,positive
380,positive
381,positive
382,positive
383,negative
384,neutral
385,positive
386,positive
387,positive
388,negative
389,positive
390,negative
391,neutral
392,positive
393,negative
394,positive
395,neutral
396,positive
397,positive
398,positive
399,neutral
400,positive
401,positive
402,negative
403,negative
404,positive
405,positive
406,positive
407,positive
408,positive
409,positive
410,neutral
411,positive
412,positive
413,positive
414,positive
415,neutral
416,neutral
417,positive
418,positive
419,neutral
420,negative
421,positive
422,positive
423,negative
424,positive
425,positive
426,positive
427,neutral
428,positive
429,neutral
430,positive
431,positive
432,negative
433,negative
434,neutral
435,positive
436,positive
437,positive
438,positive
439,positive
440,positive
441,negative
442,positive
443,negative
444,negative
445,negative
446,positive
447,neutral
448,neutral
449,positive
450,positive
451,positive
452,neutral
453,neutral
454,positive
455,positive
456,neutral
457,negative
458,negative
459,negative
460,positive
461,positive
462,positive
463,neutral
464,positive
465,positive
466,positive
467,positive
468,neutral
469,negative
470,neutral
471,positive
472,negative
473,positive
474,positive
475,positive
476,neutral
477,positive
478,positive
479,neutral
480,positive
481,positive
482,neutral
483,positive
484,negative
485,positive
486,positive
487,neutral
488,positive
489,neutral
490,positive
491,positive
492,negative
493,positive
494,neutral
495,neutral
496,positive
497,neutral
498,negative
499,negative
